2021-07-15 09:06:36.512 [main] WARN  com.alibaba.nacos.client.config.NacosConfigService - [fixed-localhost_8848] [get-config] get from server error, dataId=archives-server, group=DEFAULT_GROUP, tenant=, msg=ErrCode:500, ErrMsg:no available server
2021-07-15 09:06:36.514 [main] WARN  com.alibaba.nacos.client.config.NacosConfigService - [fixed-localhost_8848] [get-config] get snapshot ok, dataId=archives-server, group=DEFAULT_GROUP, tenant=, config=
2021-07-15 09:06:36.520 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid server:
2021-07-15 09:06:36.520 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid port: 8014
2021-07-15 09:06:36.521 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid servlet:
2021-07-15 09:06:36.521 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid context-path: /archives/
2021-07-15 09:06:36.521 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid spring:
2021-07-15 09:06:36.521 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid datasource:
2021-07-15 09:06:36.521 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid driver-class-name: com.mysql.cj.jdbc.Driver
2021-07-15 09:06:36.521 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid username: root
2021-07-15 09:06:36.521 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid password: root
2021-07-15 09:06:36.521 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid logging:
2021-07-15 09:06:36.521 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid level:
2021-07-15 09:06:36.521 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid com.nantian: debug
2021-07-15 09:06:40.545 [main] WARN  com.alibaba.nacos.client.config.NacosConfigService - [fixed-localhost_8848] [get-config] get from server error, dataId=archives-server.properties, group=DEFAULT_GROUP, tenant=, msg=ErrCode:500, ErrMsg:no available server
2021-07-15 09:06:40.546 [main] WARN  com.alibaba.nacos.client.config.NacosConfigService - [fixed-localhost_8848] [get-config] get snapshot ok, dataId=archives-server.properties, group=DEFAULT_GROUP, tenant=, config=
2021-07-15 09:06:40.546 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[archives-server.properties] & group[DEFAULT_GROUP]
2021-07-15 09:07:12.283 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid server:
2021-07-15 09:07:12.284 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid port: 8014
2021-07-15 09:07:12.284 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid servlet:
2021-07-15 09:07:12.284 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid context-path: /archives/
2021-07-15 09:07:12.284 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid spring:
2021-07-15 09:07:12.284 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid datasource:
2021-07-15 09:07:12.284 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid driver-class-name: com.mysql.cj.jdbc.Driver
2021-07-15 09:07:12.284 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid username: root
2021-07-15 09:07:12.284 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid password: root
2021-07-15 09:07:12.285 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid logging:
2021-07-15 09:07:12.285 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid level:
2021-07-15 09:07:12.285 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid com.nantian: debug
2021-07-15 09:07:12.319 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[archives-server.properties] & group[DEFAULT_GROUP]
2021-07-15 09:07:12.328 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[archives-server-dev.properties] & group[DEFAULT_GROUP]
2021-07-15 09:07:14.696 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2021-07-15 09:07:14.700 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2021-07-15 09:18:41.952 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid server:
2021-07-15 09:18:41.952 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid port: 8014
2021-07-15 09:18:41.952 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid servlet:
2021-07-15 09:18:41.952 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid context-path: /archives/
2021-07-15 09:18:41.952 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid spring:
2021-07-15 09:18:41.952 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid datasource:
2021-07-15 09:18:41.952 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid driver-class-name: com.mysql.cj.jdbc.Driver
2021-07-15 09:18:41.952 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid username: root
2021-07-15 09:18:41.952 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid password: root
2021-07-15 09:18:41.952 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid logging:
2021-07-15 09:18:41.952 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid level:
2021-07-15 09:18:41.953 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid com.nantian: debug
2021-07-15 09:18:41.959 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[archives-server.properties] & group[DEFAULT_GROUP]
2021-07-15 09:18:41.962 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[archives-server-dev.properties] & group[DEFAULT_GROUP]
2021-07-15 09:18:44.346 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2021-07-15 09:18:44.350 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2021-07-15 09:38:42.820 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid server:
2021-07-15 09:38:42.821 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid port: 8014
2021-07-15 09:38:42.821 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid servlet:
2021-07-15 09:38:42.821 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid context-path: /archives/
2021-07-15 09:38:42.821 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid spring:
2021-07-15 09:38:42.821 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid datasource:
2021-07-15 09:38:42.821 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid driver-class-name: com.mysql.cj.jdbc.Driver
2021-07-15 09:38:42.821 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid username: root
2021-07-15 09:38:42.821 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid password: root
2021-07-15 09:38:42.821 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid logging:
2021-07-15 09:38:42.821 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid level:
2021-07-15 09:38:42.821 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid com.nantian: debug
2021-07-15 09:38:42.825 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[archives-server.properties] & group[DEFAULT_GROUP]
2021-07-15 09:38:42.827 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[archives-server-dev.properties] & group[DEFAULT_GROUP]
2021-07-15 09:38:44.889 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2021-07-15 09:38:44.892 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2021-07-15 09:40:36.787 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid server:
2021-07-15 09:40:36.787 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid port: 8014
2021-07-15 09:40:36.787 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid servlet:
2021-07-15 09:40:36.787 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid context-path: /archives/
2021-07-15 09:40:36.787 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid spring:
2021-07-15 09:40:36.787 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid datasource:
2021-07-15 09:40:36.787 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid driver-class-name: com.mysql.cj.jdbc.Driver
2021-07-15 09:40:36.787 [main] WARN  c.a.cloud.nacos.parser.NacosDataPropertiesParser - the config data is invalid username: root
